prosthesis failure,uterine cancer
kidney cancer,genetic disease
hookworm disease,chime syndrome
proteus syndrome,sleep apnea
holoprosencephaly 1,nephrolithiasis
anal fistula,long qt syndrome 11
bile duct cancer,retinal disease
dislocations,nasopharyngitis
sneddon syndrome,scott syndrome
pharyngitis,hypothyroidism
acrodysostosis,covid-19
spastic ataxia,fetishism
morm syndrome,cholecystolithiasis
ciliopathies,kidney calculi
hydrocephalus,pancreatic agenesis
syndactyly type 4,pneumoconiosis
dermatitis,cataract 45
chromoblastomycosis,boomerang dysplasia
signs and symptoms,lipoid proteinosis
anterograde amnesia,short syndrome
immunodeficiency 18,vascular diseases
mucinoses,intussusception
urea cycle disorder,tauopathy
cerebellar ataxia,hypotrichosis 2
peliosis hepatis,serratia infection
heart murmurs,lung adenocarcinoma
tick-borne diseases,athletic injuries
aortic rupture,dislocations
waisman syndrome,mend syndrome
fibrosis,lung cancer
martsolf syndrome,prostatism
pseudotumor cerebri,p14 deficiency
herpes simplex,male infertility
immunodeficiency 44,allergic rhinitis
optic nerve glioma,nemaline myopathy 8
ck syndrome,genomic instability
fils syndrome,harp syndrome
immunodeficiency 61,linitis plastica
gingivitis,renal tuberculosis
nbia2b,dental plaque
arteritis,aphasia
achondroplasia,thrombocytopenia
kidney cancer,genetic disease
lipoblastoma,actinic keratosis
trimethylaminuria,esophageal disease
hyperemia,fabry disease
choledochal cyst,uveitis
hemorrhagic disease,joubert syndrome 7
frasier syndrome,retrograde amnesia
endarteritis,hyalohyphomycosis
mutism,mastocytosis
abdominal injuries,osteoarthritis
agnosia,lung disease
ischemic colitis,hemochromatosis
achromatopsia 3,facial pain
pendred syndrome,spleen cancer
immunodeficiency 35,athetosis
fusariosis,cholangiocarcinoma
heart injuries,image syndrome
kuru,mastocytosis
cole disease,brain cancer
hemoglobinopathy,salmonellosis
listeriosis,leukocyte disease
anovulation,spasm
jejunal diseases,ectopia lentis
prostate disease,hypoaldosteronism
kallmann syndrome,bloom syndrome
schizencephaly,adult i phenotype
prolactinoma,rosah syndrome
psoriasis,hemifacial spasm
sotos syndrome,holoprosencephaly
chops syndrome,shigellosis
tinea capitis,foot ulcer
synpolydactyly 2,tietz syndrome
kidney cancer,genetic disease
mouth disease,pilomatrixoma
muenke syndrome,cattle diseases
temporal arteritis,myopia
prostatic adenoma,iatrogenic disease
triple-a syndrome,eclampsia
pancreatic agenesis,long qt syndrome 12
amelanotic melanoma,pituitary apoplexy
thoracic cancer,tooth loss
ptosis,takayasu arteritis
syndactyly type 4,kbg syndrome
constipation,viral pneumonia
coccidiosis,respiratory sounds
anencephaly,thymus cancer
renal colic,tooth malformation
gracile syndrome,child syndrome
favism,nephrotoxicity
granuloma,warfarin resistance
femoral neuropathy,pyelitis
rectal disease,neurofibromatosis
laryngomalacia,chops syndrome
hemorrhage,achondroplasia
hemothorax,allergic disease
chromoblastomycosis,boomerang dysplasia
angiosarcoma,eczema
drunkenness nos,elliptocytosis 1
dislocations,nasopharyngitis
rectal disease,neurofibromatosis
leukemia,uterine disease
dyslipidaemia,gm1 gangliosidosis
peritonitis,ichthyosis vulgaris
vici syndrome,ovarian cancer
hypothyroidism,hyperargininemia
exanthem,atrophy
leukoplakia,glycoproteinoses
mucosulfatidosis,cone dystrophy 4
myocardial stunning,conn's syndrome
atopic dermatitis,cor pulmonale
autistic disorder,achromatopsia 3
trichothiodystrophy,spinal cancer
gingival hemorrhage,diarrhea
polyneuropathy,kashin-beck disease
achondroplasia,leopard syndrome 3
cystadenocarcinoma,cor pulmonale
pheochromocytoma,medulloepithelioma
osteosarcoma,arthralgia
hypohidrosis,ischemia
desmoid tumor,immunodeficiency 7
noonan syndrome 8,cancer
hypothyroidism,hyperargininemia
acatalasia,joubert syndrome 4
alazami syndrome,al-gazali syndrome
discitis,phencyclidine abuse
noonan syndrome 8,camptocormia
anaphylaxis,snoring
oliguria,motor disorders
mental depression,dystrophinopathies
x-linked deafness 6,hyperplasia
corneal perforation,gne myopathy
omodysplasia,alstrom syndrome
influenza,pruritus
aortitis,immunodeficiency 36
x-linked ichthyosis,zika fever
hearing disorders,cardiac tamponade
pneumonia,immunodeficiency 26
holoprosencephaly 1,anisocoria
tay-sachs disease,mednik syndrome
oral fistula,image-i syndrome
subdural effusion,menorrhagia
muscle cancer,myoclonic dystonia
fecal impaction,mastocytosis
fibrochondrogenesis,uveal cancer
rupture,choledochal cyst
amelanotic melanoma,pituitary apoplexy
syncope,macrostomia
carcinoid,thrombocytopenia 6
hypopituitarism,torsades de pointes
rectal disease,dyslexia
hemangiopericytoma,cowden syndrome 6
leigh disease,urticaria
filariasis,barrett's esophagus
polyneuropathy,chickenpox
strongyloidiasis,nephronophthisis 16
infarction,hypocalcemia
paresis,gitelman syndrome
costello syndrome,peptic esophagitis
jejunal diseases,vitiligo
tenorio syndrome,glomerular disease
x-linked deafness 6,adhesion
dizziness,meconium ileus
larynx cancer,malaria
cryoglobulinemia,proctocolitis
gaucher's disease,scurvy
celiac disease,hypoproteinemia
rupture,choledochal cyst
mucinoses,intussusception
al-raqad syndrome,dyspareunia
oligospermia,harp syndrome
char syndrome,skin manifestations
intragastric ph,holoprosencephaly
renal tuberculosis,herpes labialis
hypogonadism,ck syndrome
boomerang dysplasia,listeria meningitis
myocardial ischemia,focal epilepsy
pneumopericardium,heroin dependence
intestinal disease,hookworm disease
syncope,moyamoya disease 5
leukopenia,ectropion
char syndrome,skin manifestations
muir-torre syndrome,aseptic meningitis
gillespie syndrome,dirofilariasis
mouth disease,paraphilia disorder
testicular disease,sexual infantilism
facies,somnambulism
skin melanoma,leishmaniasis
facies,somnambulism
chromosome breakage,dyslexia
nephronophthisis 16,mirror movements 2
spinal cancer,trichuriasis
hyphema,enuresis
methemoglobinemia,jaundice
fetal death,portal hypertension
hyperinsulinism,mousepox
hemangioma,short syndrome
cystathioninuria,renal hypouricemia
rapadilino syndrome,uterine disease
castleman disease,cystinosis
acne,hairy cell leukemia
night terrors,congenital microtia
chilblain lupus,reflex epilepsy
hepatitis,nose disease
bone marrow cancer,achromatopsia 4
liddle syndrome,epidermal nevus
congenital syphilis,urolithiasis
renal oncocytoma,choristoma
atrial standstill,heart block
hypercalciuria,contact dermatitis
orofacial cleft 5,acute lung injury
constipation,dyspareunia
desmoid tumor,immunodeficiency 7
bone density,mast syndrome
sly syndrome,nephronophthisis 3
sebastian syndrome,hyperproinsulinemia
werner syndrome,colonic polyps
sore on skin,stork bite
pars planitis,embryo loss
mesenchymoma,tongue disease
heartburn,alagille syndrome
phencyclidine abuse,microcytic anemia
apraxia,meningitis
hyperinsulinism,bacterial pneumonia
neurofibroma,mobility limitation
stromme syndrome,cryptococcosis
hearing disorders,cardiac tamponade
choroidal sclerosis,hyperbiliverdinemia
fucosidosis,syphilis
addison's disease,follicular lymphoma
coloboma,cryptosporidiosis
ivic syndrome,nematode infections
methemoglobinemia,jaundice
polymicrogyria,scurvy
isovaleric acidemia,auditory neuropathy
leukoplakia,glycoproteinoses
clear cell sarcoma,immunodeficiency 25
sezary's disease,acquired ichthyosis
vici syndrome,ovarian cancer
hand-foot syndrome,cherubism
nephronophthisis 2,corneal ulcer
mastocytosis,lewy body dementia
syndactyly type 5,atherosclerosis
lethargy,spinal meningioma
retrograde amnesia,wittwer syndrome
histiocytosis,immunodeficiency 45
iris disease,facial pain
masa syndrome,sick sinus syndrome
asthenia,esotropia
onycholysis,decubitus ulcer
uterine disease,phgdh deficiency
mirror movements 2,holoprosencephaly 7
hypercalcemia,thoracic disease
immunodeficiency 44,allergic rhinitis
flatulence,learning disability
somatoform disorder,movement disease
arteriosclerosis,tuberculoid leprosy
carcinogenesis,parietal foramina
amelanotic melanoma,pituitary apoplexy
malt lymphoma,htlv-i infections
lethargy,spinal meningioma
mobility limitation,shellfish poisoning
hypothyroidism,hyperargininemia
hemophilia b,noonan syndrome 6
atrial flutter,al kaissi syndrome
labor pain,tropical sprue
cystadenocarcinoma,cor pulmonale
helix syndrome,prostatism
dental caries,hypobaropathy nos
immunodeficiency 35,quadriplegia
ulnar neuropathy,stargardt disease 4
hyperuricemia,hemorrhagic disease
cornea plana 2,systemic vasculitis
acatalasia,joubert syndrome 4
crouzon syndrome,splenomegaly
sleeping sickness,cocaine abuse
endocarditis,hypolipoproteinemia
kuru,mastocytosis
gastroenteritis,opitz-gbbb syndrome
cryoglobulinemia,proctocolitis
hypolipoproteinemia,hepatitis
miosis,craving
epididymitis,hepatoblastoma
joubert syndrome 4,myocarditis
adult i phenotype,cocoon syndrome
tolerance,joubert syndrome 6
aberrant crypt foci,hymenolepiasis
intestinal polyps,eclampsia
citrullinemia,kernicterus
blau syndrome,hip fractures
oliguria,motor disorders
polyradiculopathy,czech dysplasia
orchitis,hepatoblastoma
tetralogy of fallot,nephronophthisis 9
hypomagnesemia,bruck syndrome 1
nbia2b,dental plaque
glucagonoma,hiv seropositivity
spinal stenosis,leukoplakia
bone marrow cancer,nescav syndrome
systemic vasculitis,drug psychosis
aberrant crypt foci,hymenolepiasis
orofacial cleft 5,ascites
aarskog syndrome,central sleep apnea
goldenhar syndrome,sitosterolemia
seckel syndrome 4,feingold syndrome
kowarski syndrome,arts syndrome
hypomagnesemia,bruck syndrome 1
polyneuropathy,chickenpox
anorexia nervosa,laryngeal disease
fuhrmann syndrome,cfhr5 deficiency
celiac disease,hypoproteinemia
glucagonoma,alstrom syndrome
epidermal nevus,immunodeficiency 51
pendred syndrome,blister
spina bifida,holoprosencephaly 1
fatty liver disease,calculi
immunodeficiency 37,orofacial cleft 5
choristoma,trichuriasis
immunodeficiency 24,burns
heart injuries,image syndrome
ocular hypertension,immunodeficiency 8
gastritis,feminization
hypopharynx cancer,male infertility
ileitis,poems syndrome
lafora disease,psoriasis
spondylolysis,bronchiolitis
paragangliomas 3,cachexia
tonsillectomy,kidney failure
status asthmaticus,hyperargininemia
nephrolithiasis,arachnodactyly
addison's disease,renal oncocytoma
hypomagnesemia,bruck syndrome 1
subacute delirium,blau syndrome
signs and symptoms,lipoid proteinosis
tics,ulcer
cattle diseases,rectal disease
opitz-gbbb syndrome,herpes labialis
blindness,hypertrophy
pasteurellosis,epidural abscess
brain stem cancer,reynolds syndrome
paragangliomas 5,thalassemia
capgras syndrome,psoas abscess
birk-barel syndrome,long qt syndrome 3
ck syndrome,genomic instability
pre-eclampsia,tracheal cancer
fetal death,eye injuries
immunodeficiency 48,keratoconus
ventricular flutter,insomnia
noonan syndrome 5,laryngomalacia
granuloma,warfarin resistance
anus disease,bruxism
keipert syndrome,leigh disease
basan syndrome,hypersplenism
osteosclerosis,trimethylaminuria
immunodeficiency 48,keratoconus
serotonin syndrome,au-kline syndrome
menkes disease,retinoschisis
coronary aneurysm,subacute delirium
cerebellar ataxia,hypotrichosis 2
endophthalmitis,vitreous hemorrhage
elderly adult,abdominal neoplasms
duodenal ulcer,achromatopsia 2
urinoma,failure to thrive
syndactyly type 4,blau syndrome
giardiasis,acute abdomen
fat necrosis,anhedonia
prinzmetal angina,mast syndrome
septic arthritis,hepatitis b
mastodynia,angiosarcoma
auditory neuropathy,grange syndrome
acidosis,aarskog syndrome
weaver syndrome,boomerang dysplasia
tyrosinemia,esophageal stenosis
parapsoriasis,medulloepithelioma
alkaptonuria,dyssomnias
fetal death,portal hypertension
fat necrosis,anhedonia
reperfusion injury,bone disease
spondylitis,opisthorchiasis
glycosuria,lipomatosis
medulloblastoma,hypoglycemia
nemaline myopathy 7,gaucher's disease
balkan nephropathy,polyuria
dysostosis,iritis
immunodeficiency 61,linitis plastica
adult i phenotype,gliosarcoma
galactorrhea,headache disorders
tics,ulcer
tick-borne diseases,athletic injuries
aortic disease,aphthous stomatitis
calcinosis,episodic ataxias
mediastinal cancer,cowden syndrome 4
lymphedema,linitis plastica
neu-laxova syndrome,optic nerve disease
sjogren's syndrome,parasomnias
failure to thrive,purpura fulminans
pseudobulbar palsy,reperfusion injury
liver disease,oral ulcer
isovaleric acidemia,auditory neuropathy
carcinogenesis,renal glycosuria
pica disease,diurnal enuresis
parkinson's disease,silicosis
leigh disease,pulmonary edema
megalocornea,brugada syndrome
clear cell sarcoma,immunodeficiency 25
hyperparathyroidism,corneal dystrophy
fetal distress,hepatitis b
fascioliasis,immunodeficiency 37
carcinoma,hemifacial spasm
kidney cancer,genetic disease
brugada syndrome,hyperglycinuria
primary dystonia,dirofilariasis
erythromelalgia,lissencephaly
ameloblastoma,leydig cell tumor
colonic disease,krabbe disease
mc syndrome 3,keratitis
